Subject: img0064_mask.nii, Dice: 0.7205509242479159
Subject: img0082_mask.nii, Dice: 0.7369639111882549
Subject: img0033_mask.nii, Dice: 0.5700357491062723
Subject: img0074_mask.nii, Dice: 0.8490905169314832
Subject: img0092_mask.nii, Dice: 0.6470455059995472
Subject: img0023_mask.nii, Dice: 0.7976083707025411
Subject: img00101_mask.nii, Dice: 0.720383093899646
Subject: img0044_mask.nii, Dice: 0.8084990835652706
Subject: img0013_mask.nii, Dice: 0.8166245943021998
Subject: img005_mask.nii, Dice: 0.6246256239600666
Subject: img0054_mask.nii, Dice: 0.7617270336754601
Subject: img0073_mask.nii, Dice: 0.7673148350447891
Subject: img0095_mask.nii, Dice: 0.5741626794258373
Subject: img0024_mask.nii, Dice: 0.7720178980683182
Subject: img0063_mask.nii, Dice: 0.690778097982709
Subject: img0085_mask.nii, Dice: 0.6933104139808051
Subject: img0034_mask.nii, Dice: 0.63121387283237
Subject: img0053_mask.nii, Dice: 0.8009957989730823
Subject: img00106_mask.nii, Dice: 0.7243000641162641
Subject: img0043_mask.nii, Dice: 0.6744273375891852
Subject: img002_mask.nii, Dice: 0.774117448816244
Subject: img0014_mask.nii, Dice: 0.6298294211984254
Subject: img0045_mask.nii, Dice: 0.7896534061806385
Subject: img00100_mask.nii, Dice: 0.7322467986030268
Subject: img004_mask.nii, Dice: 0.6710777826790177
Subject: img0012_mask.nii, Dice: 0.611764705882353
Subject: img0055_mask.nii, Dice: 0.7782943978226355
Subject: img0083_mask.nii, Dice: 0.6634471273938385
Subject: img0065_mask.nii, Dice: 0.841380727347442
Subject: img0032_mask.nii, Dice: 0.6705295348462901
Subject: img0093_mask.nii, Dice: 0.6327599102468212
Subject: img0075_mask.nii, Dice: 0.6999334664005322
Subject: img0022_mask.nii, Dice: 0.7574174286247434
Subject: img0052_mask.nii, Dice: 0.7636126507988262
Subject: img0042_mask.nii, Dice: 0.7920593779453345
Subject: img00107_mask.nii, Dice: 0.7396204033214709
Subject: img00108_mask.nii, Dice: 0.7203970692507682
Subject: img0015_mask.nii, Dice: 0.8009657947686116
Subject: img003_mask.nii, Dice: 0.5277509984850571
Subject: img0094_mask.nii, Dice: 0.6936081146353245
Subject: img0072_mask.nii, Dice: 0.7533161385408991
Subject: img0025_mask.nii, Dice: 0.6904761904761905
Subject: img0084_mask.nii, Dice: 0.7922012578616352
Subject: img0062_mask.nii, Dice: 0.7505608220565888
Subject: img0035_mask.nii, Dice: 0.7895560497487851
Subject: img0026_mask.nii, Dice: 0.749065457726875
Subject: img0029_mask.nii, Dice: 0.7067590987868284
Subject: img0097_mask.nii, Dice: 0.645457423235201
Subject: img0098_mask.nii, Dice: 0.6936607248258765
Subject: img0071_mask.nii, Dice: 0.7165802453522195
Subject: img0039_mask.nii, Dice: 0.7550180775464406
Subject: img0036_mask.nii, Dice: 0.7344365642237982
Subject: img0088_mask.nii, Dice: 0.5380952380952381
Subject: img0087_mask.nii, Dice: 0.8491857446306349
Subject: img0061_mask.nii, Dice: 0.7030550537972198
Subject: img0051_mask.nii, Dice: 0.7339350180505415
Subject: img0016_mask.nii, Dice: 0.8121666099194189
Subject: img000_mask.nii, Dice: 0.7665328544263681
Subject: img0019_mask.nii, Dice: 0.7839242406744428
Subject: img0041_mask.nii, Dice: 0.7795059469350412
