Subject: img0061_mask.nii, Dice: 0.7323300642543118
Subject: img0088_mask.nii, Dice: 0.6549222797927461
Subject: img0087_mask.nii, Dice: 0.8504001306549077
Subject: img0039_mask.nii, Dice: 0.6827710676107177
Subject: img0036_mask.nii, Dice: 0.49573120352519967
Subject: img0071_mask.nii, Dice: 0.6880570409982175
Subject: img0097_mask.nii, Dice: 0.6884293283199453
Subject: img0098_mask.nii, Dice: 0.7003528225806451
Subject: img00105_mask.nii, Dice: 0.7844177034468692
Subject: img0026_mask.nii, Dice: 0.7656328583403186
Subject: img0029_mask.nii, Dice: 0.6413486125580073
Subject: img0041_mask.nii, Dice: 0.7933857762080591
Subject: img0016_mask.nii, Dice: 0.8365100035515568
Subject: img0019_mask.nii, Dice: 0.8152803450400493
Subject: img008_mask.nii, Dice: 0.6973431317128321
Subject: img007_mask.nii, Dice: 0.6825898144492697
Subject: img0051_mask.nii, Dice: 0.7545903257650542
Subject: img0079_mask.nii, Dice: 0.7199187679810458
Subject: img0076_mask.nii, Dice: 0.6901937670375009
Subject: img0090_mask.nii, Dice: 0.7959015944331818
Subject: img0021_mask.nii, Dice: 0.8165695792880259
Subject: img00102_mask.nii, Dice: 0.7851311232063335
Subject: img0066_mask.nii, Dice: 0.7421474029973312
Subject: img0069_mask.nii, Dice: 0.8078333011769245
Subject: img0080_mask.nii, Dice: 0.8207157604955265
Subject: img0031_mask.nii, Dice: 0.8290961917609214
Subject: img000_mask.nii, Dice: 0.7717317678934297
Subject: img0059_mask.nii, Dice: 0.3813276750530464
Subject: img0049_mask.nii, Dice: 0.6671511627906976
Subject: img0046_mask.nii, Dice: 0.8220619176435227
Subject: img0011_mask.nii, Dice: 0.7101296880476691
Subject: img0040_mask.nii, Dice: 0.7892317793827971
Subject: img0018_mask.nii, Dice: 0.7062078123270997
Subject: img0017_mask.nii, Dice: 0.30048946584379654
Subject: img0050_mask.nii, Dice: 0.7365762394761459
Subject: img006_mask.nii, Dice: 0.7193770589997005
Subject: img009_mask.nii, Dice: 0.7124789207419899
Subject: img0086_mask.nii, Dice: 0.8032225579053374
Subject: img0089_mask.nii, Dice: 0.5078401618614061
Subject: img0060_mask.nii, Dice: 0.7419837182256189
Subject: img0037_mask.nii, Dice: 0.7106135986733002
Subject: img0038_mask.nii, Dice: 0.7677095840101702
Subject: img0099_mask.nii, Dice: 0.7842535787321063
Subject: img0096_mask.nii, Dice: 0.682429677945373
Subject: img0070_mask.nii, Dice: 0.7574642126789366
Subject: img0028_mask.nii, Dice: 0.7415493883993161
Subject: img0027_mask.nii, Dice: 0.8049198384530657
Subject: img00104_mask.nii, Dice: 0.8121911952478765
Subject: img0058_mask.nii, Dice: 0.850538809932844
Subject: img0057_mask.nii, Dice: 0.0
Subject: img001_mask.nii, Dice: 0.5431920649233544
Subject: img0047_mask.nii, Dice: 0.8501057977147694
Subject: img0048_mask.nii, Dice: 0.37716615698267075
Subject: img0010_mask.nii, Dice: 0.7371616493802176
Subject: img0091_mask.nii, Dice: 0.766836391584206
Subject: img0077_mask.nii, Dice: 0.8329718004338394
Subject: img0078_mask.nii, Dice: 0.7361000568504832
Subject: img00103_mask.nii, Dice: 0.7278543307086615
Subject: img0020_mask.nii, Dice: 0.7593896713615024
Subject: img0081_mask.nii, Dice: 0.8330346790344683
Subject: img0068_mask.nii, Dice: 0.780087194565548
