

Subject: img0092_mask.nii, Dice: 0.30456416519654406
Subject: img0074_mask.nii, Dice: 0.4132822477650064
Subject: img00102_mask.nii, Dice: 0.25727473409592616
Subject: img0023_mask.nii, Dice: 0.673941368078176
Subject: img0082_mask.nii, Dice: 0.2357007084845343
Subject: img0064_mask.nii, Dice: 0.5835175244711083
Subject: img0033_mask.nii, Dice: 0.42646815550041356
Subject: img0054_mask.nii, Dice: 0.1927993738585964
Subject: img004_mask.nii, Dice: 0.42955484167049107
Subject: img0044_mask.nii, Dice: 0.36586863106200124
Subject: img0013_mask.nii, Dice: 0.09284195605953224
Subject: img0085_mask.nii, Dice: 0.2900580116023205
Subject: img0063_mask.nii, Dice: 0.09212041454186544
Subject: img0034_mask.nii, Dice: 0.4489018834568573
Subject: img0095_mask.nii, Dice: 0.231058570660935
Subject: img00105_mask.nii, Dice: 0.0
Subject: img0073_mask.nii, Dice: 0.4596060519554667
Subject: img0024_mask.nii, Dice: 0.4086346465191581
Subject: img0043_mask.nii, Dice: 0.48077376739797123
Subject: img0014_mask.nii, Dice: 0.2875683693334569
Subject: img0053_mask.nii, Dice: 0.5733117233927607
Subject: img003_mask.nii, Dice: 0.5197495731360273
Subject: img0055_mask.nii, Dice: 0.5325182101977107
Subject: img005_mask.nii, Dice: 0.6223234624145786
Subject: img0045_mask.nii, Dice: 0.4168247944339026
Subject: img0012_mask.nii, Dice: 0.751144074483194
Subject: img00103_mask.nii, Dice: 0.574786952688804
Subject: img0075_mask.nii, Dice: 0.14355544121430408
Subject: img0093_mask.nii, Dice: 0.3622571692876966
Subject: img0022_mask.nii, Dice: 0.43947858472998136
Subject: img0065_mask.nii, Dice: 0.32630683429435675
Subject: img0083_mask.nii, Dice: 0.45954003407155025
Subject: img0032_mask.nii, Dice: 0.4469742360695027
Subject: img0042_mask.nii, Dice: 0.20910434109617956
Subject: img0015_mask.nii, Dice: 0.3936223218734429
Subject: img0052_mask.nii, Dice: 0.3642996108949416
Subject: img002_mask.nii, Dice: 0.29091632673365836
Subject: img0062_mask.nii, Dice: 0.45525689009867304
Subject: img0084_mask.nii, Dice: 0.29245283018867924
Subject: img0035_mask.nii, Dice: 0.39452054794520547
Subject: img0072_mask.nii, Dice: 0.6153679419096131
Subject: img00104_mask.nii, Dice: 0.5540791541648807
Subject: img0094_mask.nii, Dice: 0.3279499011206328
Subject: img0025_mask.nii, Dice: 0.39287433798748195
Subject: img0039_mask.nii, Dice: 0.5188455008488965
Subject: img0036_mask.nii, Dice: 0.39844425237683667
Subject: img0061_mask.nii, Dice: 0.6212045793927327
Subject: img0088_mask.nii, Dice: 0.5503890681343708
Subject: img0087_mask.nii, Dice: 0.6244534412955466
Subject: img0026_mask.nii, Dice: 0.257006874669487
Subject: img0029_mask.nii, Dice: 0.30578628748416165
Subject: img00108_mask.nii, Dice: 0.3036529680365297
Subject: img0071_mask.nii, Dice: 0.496702113339615
Subject: img00107_mask.nii, Dice: 0.4830188679245283
Subject: img0097_mask.nii, Dice: 0.43184784635465223
Subject: img0098_mask.nii, Dice: 0.48914858096828046
Subject: img0016_mask.nii, Dice: 0.4295292540052227
Subject: img0019_mask.nii, Dice: 0.1825830879259571
Subject: img0041_mask.nii, Dice: 0.25206845744077977
Subject: img001_mask.nii, Dice: 0.5778765600957428
Subject: img0051_mask.nii, Dice: 0.3203532717784022
Subject: img0021_mask.nii, Dice: 0.45656006043817676
Subject: img0079_mask.nii, Dice: 0.37518396920638514
Subject: img00100_mask.nii, Dice: 0.5757958564931783
Subject: img0076_mask.nii, Dice: 0.5255754475703325
Subject: img0090_mask.nii, Dice: 0.28946381702287216
Subject: img0031_mask.nii, Dice: 0.558837656099904
Subject: img0066_mask.nii, Dice: 0.5238777459407832
Subject: img0069_mask.nii, Dice: 0.4732824427480916
Subject: img0080_mask.nii, Dice: 0.5743857814950339
Subject: img009_mask.nii, Dice: 0.3034515819750719
Subject: img006_mask.nii, Dice: 0.39596678529062873
Subject: img0059_mask.nii, Dice: 0.5308298001211387
Subject: img0011_mask.nii, Dice: 0.0
Subject: img0049_mask.nii, Dice: 0.5782249259085946
Subject: img0046_mask.nii, Dice: 0.5512253917235838
Subject: img0018_mask.nii, Dice: 0.584966763252088
Subject: img0017_mask.nii, Dice: 0.4265536723163842
Subject: img0040_mask.nii, Dice: 0.35822454308093993
Subject: img000_mask.nii, Dice: 0.5368039257520802
Subject: img0050_mask.nii, Dice: 0.28308400460299193
Subject: img0037_mask.nii, Dice: 0.553181442568764
Subject: img0038_mask.nii, Dice: 0.5081226334432637
Subject: img0086_mask.nii, Dice: 0.4799084799084799
Subject: img0089_mask.nii, Dice: 0.48187972919155714
Subject: img0060_mask.nii, Dice: 0.1824844265298644
Subject: img0028_mask.nii, Dice: 0.5
Subject: img0027_mask.nii, Dice: 0.33927473878303627
Subject: img0099_mask.nii, Dice: 0.484708063021316
Subject: img0096_mask.nii, Dice: 0.5240551150796705
