Subject: img003_mask.nii, Dice: 0.47347917290979924
Subject: img0060_mask.nii, Dice: 0.6999643239386372
Subject: img0089_mask.nii, Dice: 0.4758823529411765
Subject: img0086_mask.nii, Dice: 0.6565355786014991
Subject: img0038_mask.nii, Dice: 0.7467110018794275
Subject: img0037_mask.nii, Dice: 0.6957711159238573
Subject: img0070_mask.nii, Dice: 0.6083427282976325
Subject: img0096_mask.nii, Dice: 0.63031129288798
Subject: img0099_mask.nii, Dice: 0.7068090787716956
Subject: img0027_mask.nii, Dice: 0.8175221356767193
Subject: img0028_mask.nii, Dice: 0.6954969796814937
Subject: img0040_mask.nii, Dice: 0.7569415948570647
Subject: img0017_mask.nii, Dice: 0.4966887417218543
Subject: img0018_mask.nii, Dice: 0.6761695906432749
Subject: img00105_mask.nii, Dice: 0.7206460061108686
Subject: img0050_mask.nii, Dice: 0.6085152444524625
Subject: img0078_mask.nii, Dice: 0.5897021473100901
Subject: img0077_mask.nii, Dice: 0.8040730975543231
Subject: img0091_mask.nii, Dice: 0.672765347735038
Subject: img0020_mask.nii, Dice: 0.6797366058066447
Subject: img0067_mask.nii, Dice: 0.6256847230675593
Subject: img004_mask.nii, Dice: 0.555873360291942
Subject: img0068_mask.nii, Dice: 0.5417666826692271
Subject: img0081_mask.nii, Dice: 0.7974347122717819
Subject: img0030_mask.nii, Dice: 0.7587730699246166
Subject: img0057_mask.nii, Dice: 0.0
Subject: img00102_mask.nii, Dice: 0.7056133056133056
Subject: img0058_mask.nii, Dice: 0.804626660558864
Subject: img0048_mask.nii, Dice: 0.34416601409553643
Subject: img0047_mask.nii, Dice: 0.7723924706738201
Subject: img0010_mask.nii, Dice: 0.7234120113004647
Subject: img0041_mask.nii, Dice: 0.7455919395465995
Subject: img0019_mask.nii, Dice: 0.741923027416656
Subject: img0016_mask.nii, Dice: 0.800949050949051
Subject: img0051_mask.nii, Dice: 0.7372359154929577
Subject: img00104_mask.nii, Dice: 0.7419416608157273
Subject: img0087_mask.nii, Dice: 0.7158485816632781
Subject: img0088_mask.nii, Dice: 0.5977011494252874
Subject: img0061_mask.nii, Dice: 0.6694056946302313
Subject: img002_mask.nii, Dice: 0.5849669272399278
Subject: img0036_mask.nii, Dice: 0.6229232386961093
Subject: img0039_mask.nii, Dice: 0.6774878640776699
Subject: img0098_mask.nii, Dice: 0.6784992784992785
Subject: img0097_mask.nii, Dice: 0.6179604261796042
Subject: img0071_mask.nii, Dice: 0.5620786861134943
Subject: img0029_mask.nii, Dice: 0.5148971884179605
Subject: img0026_mask.nii, Dice: 0.6331103323776149
Subject: img0059_mask.nii, Dice: 0.5284245856933082
Subject: img00103_mask.nii, Dice: 0.5382631126397248
Subject: img0046_mask.nii, Dice: 0.7766780080420662
Subject: img0049_mask.nii, Dice: 0.5839668279198341
Subject: img0011_mask.nii, Dice: 0.6362925303089558
Subject: img0090_mask.nii, Dice: 0.44434292675498704
Subject: img0076_mask.nii, Dice: 0.6413191387176819
Subject: img0079_mask.nii, Dice: 0.6976584022038568
Subject: img0021_mask.nii, Dice: 0.7493577981651376
Subject: img0080_mask.nii, Dice: 0.7867360208062418
Subject: img0069_mask.nii, Dice: 0.6566200215285253
Subject: img005_mask.nii, Dice: 0.5222878078567067
Subject: img0066_mask.nii, Dice: 0.4640504939626784
Subject: img0031_mask.nii, Dice: 0.7102345415778252
Subject: img0022_mask.nii, Dice: 0.6712519936204147
